date,tempHigh,tempAvg,tempLow,dewHigh,dewAvg,dewLow,humHigh,humAvg,humLow,windHigh,windAvg,windGust,presHigh,presAvg,presLow,rain
Mar,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
28,31.2 °C,27.6 °C,24.1 °C,19.4 °C,18.7 °C,18.3 °C,73%,62%,49%,11 kph,9 kph,32 kph,1019 hPa,1017 hPa,1015 hPa,0 mm
29,31.6 °C,27.2 °C,22.8 °C,21.1 °C,19.7 °C,17.8 °C,77%,68%,52%,13 kph,7 kph,31 kph,1020 hPa,1017 hPa,1015 hPa,0 mm
30,30.8 °C,27.9 °C,24.9 °C,23.9 °C,21.9 °C,21.1 °C,88%,75%,59%,10 kph,4 kph,21 kph,1019 hPa,1017 hPa,1015 hPa,0 mm
31,33.2 °C,28.6 °C,24 °C,23.9 °C,22.2 °C,20 °C,82%,72%,56%,8 kph,4 kph,18 kph,1016 hPa,1014 hPa,1012 hPa,0 mm
2016,Temperature,,,Dew Point,,,Humidity,,,Speed,,,Pressure,,,Precip. Accum.
Apr,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
1,33.6 °C,28.7 °C,23.8 °C,23.9 °C,22.6 °C,21.1 °C,86%,73%,52%,8 kph,3 kph,18 kph,1016 hPa,1014 hPa,1011 hPa,0 mm
2,33.4 °C,29.6 °C,25.8 °C,23.9 °C,22.2 °C,21.1 °C,82%,70%,53%,8 kph,4 kph,18 kph,1016 hPa,1014 hPa,1012 hPa,0 mm
3,33.9 °C,28.9 °C,24 °C,23.3 °C,21.6 °C,20.6 °C,84%,68%,47%,8 kph,4 kph,16 kph,1017 hPa,1014 hPa,1011 hPa,0 mm
4,33.5 °C,28.3 °C,23.1 °C,22.2 °C,21.2 °C,19.4 °C,84%,68%,47%,11 kph,4 kph,24 kph,1015 hPa,1013 hPa,1010 hPa,0 mm
5,33.4 °C,28.2 °C,23.1 °C,22.8 °C,21.3 °C,20 °C,86%,69%,52%,6 kph,3 kph,18 kph,1016 hPa,1013 hPa,1010 hPa,0 mm
6,32.7 °C,29 °C,25.4 °C,23.9 °C,21.5 °C,19.4 °C,79%,69%,52%,10 kph,5 kph,27 kph,1016 hPa,1014 hPa,1012 hPa,0 mm
7,34.1 °C,29.1 °C,24 °C,23.9 °C,21.7 °C,20 °C,83%,68%,49%,8 kph,4 kph,24 kph,1016 hPa,1014 hPa,1012 hPa,0 mm
8,32.9 °C,28.1 °C,23.4 °C,23.9 °C,21.9 °C,20.6 °C,86%,69%,56%,10 kph,5 kph,24 kph,1015 hPa,1013 hPa,1011 hPa,0 mm
9,34.7 °C,30.2 °C,25.7 °C,22.8 °C,21.6 °C,21.1 °C,81%,65%,47%,8 kph,5 kph,23 kph,1014 hPa,1012 hPa,1009 hPa,0 mm
10,34.7 °C,28.9 °C,23.2 °C,22.8 °C,21.4 °C,20 °C,87%,68%,45%,6 kph,3 kph,18 kph,1014 hPa,1011 hPa,1009 hPa,0 mm
11,35.3 °C,29.5 °C,23.7 °C,23.9 °C,22.4 °C,21.1 °C,89%,71%,46%,6 kph,3 kph,18 kph,1013 hPa,1010 hPa,1007 hPa,0 mm
12,35.4 °C,30 °C,24.6 °C,23.9 °C,22.2 °C,19.4 °C,89%,68%,40%,6 kph,3 kph,18 kph,1012 hPa,1010 hPa,1007 hPa,0 mm
13,35.5 °C,29.8 °C,24.1 °C,25.6 °C,23.2 °C,21.7 °C,88%,70%,50%,10 kph,3 kph,27 kph,1012 hPa,1009 hPa,1007 hPa,0 mm
14,36.6 °C,30.7 °C,24.8 °C,25 °C,23.7 °C,22.8 °C,91%,71%,47%,6 kph,2 kph,19 kph,1013 hPa,1011 hPa,1008 hPa,0 mm
15,36.2 °C,31.1 °C,26 °C,25.6 °C,24.5 °C,23.9 °C,91%,73%,52%,6 kph,2 kph,19 kph,1014 hPa,1012 hPa,1009 hPa,0 mm
16,35.6 °C,30.9 °C,26.2 °C,25 °C,23.8 °C,22.8 °C,86%,71%,53%,6 kph,3 kph,16 kph,1014 hPa,1012 hPa,1009 hPa,0 mm
